ID,Rating,Date,Place Name,Text
8977d67255fff8427c3938f247c8c085,1.0,2024-08-30T08:41:02.815Z,,"Эрмитаж, безусловно, вызывает только восхищение. Были с дочерью на экскурсии - восхитительно! Ребенок в восторге. Звезда за сам музей. Но очень важный для всех людей момент в музее упускают - комфортные уборные. Их просто нет. Один туалет на весь музей. Такие толпы посетителей. Такие деньги берут за вход. А уборщиц в туалет нанять не могут себе позволить, видимо. Отвратительный, грязный, вонючий туалет. Ребенка стошнило от запаха, как только вошли в кабинку. Стыд и срам, уважаемая администрация! На вокзале и то чище. Отвратительно. Отвратительное и неуважительное отношение к посетителям."
95da1a125169f6f55c8ccf3b9187e7a4,1.0,2024-08-29T09:09:13.574Z,,"Руководство музея, обратите внимание, сколько отзывов про хамство, хоть и 5 звёздочек посетители ставят. В наше время пора выходить на более человекоцентричный уровень обслуживания. Отдельный ""неуд"" за процесс возврата билетов. Хотел изменить время посещения на полтора часа вперёд. Можно сделать только через возврат. Но так как осталось менее трёх дней до визита, то имею на руках просто два билета. Что за правило про три дня? Учитывая, что куча свободных мест, что до, что после времени посещения. Вам точно нужно менять свои подходы к обслуживанию клиентов. Вот даже интересно, будет ли дана обратная связь на этот отзыв. А ещё интересно, как запрет на возврат суммы за не использованный билет менее чем за 3 дня соотносится со статьёй 1102 ГК РФ и ч. 2, ст. 14.8 КоАП РФ"
170b7639a39b7b3b17939b9700c89df9,1.0,2024-08-26T08:15:46.523Z,,"Скукота, грязно, экскурсовод умничка"
b42f4e8a9f8d651f2568ff06fec9590b,1.0,2024-08-26T10:53:37.286Z,,"Музей ОЧЕНЬ большой, но как раз в этом минус. За все время пока мы по нему ходили я увидел только один кондиционер. Дышать там просто невозможно. Я просто не мог смотреть на экспонаты и поэтому их оценить я не могу. Посещали музей мы 16 августа этого года."
f32e4aba3e24676a1af230ae2da57c0b,1.0,2024-08-17T14:14:07.164Z,,"Сам Музей прекрасен.Но при входе в музей проверяет росгвардия,чем отпугивает своим видом.И ещё  своим свинским обращением.Все желеание пропадает заходить в музей."
eb8a57963b68a0ee81286c6569911c72,1.0,2024-08-17T14:24:59.405Z,,"Ставлю оценку один. Могла бы поставить минус один, обязательно поставила бы.  К экспозициям вопросов нет, администрация на стойке - абсолютно некомпетентные хамоватые подружки пенсионного возраста. Ведут себя как совковые вахтерши, чувствуя свою власть и упиваясь ею.   Впечатление подпорчено, не рекомендую."
3292a7818c93bf25a9ddfc7ec1abea95,1.0,2024-08-16T05:35:12.185Z,,"Худший сервис в Санкт Петербурге. Бестолковый сайт. Покупала билеты онлайн за неделю до посещения, каким то мистическим образом билеты оказались оформлены на текущий день! Поменять на другое число нельзя! 1000₽ на ветер! Оформила второй раз, с датой все в порядке, но не открывались билеты. Позвонила, сказали по прибытию подойти к администратору и проблем не будет.  Администратор вела себя по хамски, вдоволь потрепала нервы, билеты все таки распечатала. Впечатление, конечно же испорчено. Там где нет конкуренции, не очень то и стараются держать планку, все равно люди идут."
6648ab094f20478948c6224319d3ddcd,1.0,2024-08-14T20:04:52.314Z,,"Заблудилась. 2 часа искала выход.  Пахнет кошачьей м... поняла, что искусство это не мое🤷‍♀️"
fce6c68b2701eb1cc311a387fd32d069,1.0,2024-08-13T13:15:45.817Z,,"Нельзя оплатить по пушкинской. Тысячи не интересных картин и скульптур, одинаково сделанных только с разными авторами. Ни слова о искусстве для человека, не посвятившего этому свою жизнь. Хаотично расположенные картины путают все восприятие о музее и культуре времени, в которой находишься. Питер прекрасный город, но Эрмитаж не заслуживает столько часов внимания. Денег заслуживает только за бестолковое количество. Точно не то место, чтобы посещать второй раз."
79ede5d08c62c25a0c589fce0680d75c,1.0,2024-08-13T18:52:34.847Z,,"Грязное здание с наружу,огромные очереди что бы попасть в музей, покупайте билеты заранее на сайте музея,в самом музее толпы людей"
2c344a2c1135e2e49f3ae03771bfea96,1.0,2024-08-12T17:57:01.307Z,,"Ничего интересного, не рекомендую, не мое"
250e82672c9919232f4e9b773a7729bf,1.0,2024-08-11T19:04:20.510Z,,"С оплаченным билетом можно зайти за 15 минут до указанного времени в билете и 30 минут после. Вчера, простояв в пробке, потом простояв в очереди на вход и попав в здание в 14.40, нас не пустили. Подарили 1000 руб гос.учреждению. Рассчитывайте время при посещении Эрмитажа."
b33145892e7f6e4459ca4bfebe3f6a5e,1.0,2024-08-11T11:58:56.802Z,,"Очереди на вход, вторая очередь на вход, коляску с ребенком носить на руках по лестницам, окна грязные и поцарапанные (чем?), поссать негде- туалеты не работает, единственные 2 кабинки в другом конце дворца с оооооогромной очередтщей. Эрмитаж, вы худшие в сервисе."
6a1b15d5c2cd14a5cdffe2e6dc8e4b4f,1.0,2024-08-09T20:25:07.238Z,,Ужасное место вообще не понравилось (моё мнение)скучно и не интересно но в бриллиантовой кладовой было интересно но дорого по 1800р с человека
